iteration,best_params,best_score,Kp,Ki,Kd,metrics
0,"[70.48274626574013, 0.07116933677407311, 857.7125097483184]",2881154.674167994,70.48274626574013,0.07116933677407311,857.7125097483184,"{'ISE': np.float64(2866960.473031541), 'IAE': np.float64(259922.91910756312), 'ITAE': np.float64(1989685556.112286), 'overshoot': np.float64(31.160964077935844), 'settling_time': np.float64(70000.0), 'control_effort': np.float64(958.000802545061)}"
1,"[58.50867998244581, 0.0, 771.0702215909703]",1771384.056817623,58.50867998244581,0.0,771.0702215909703,"{'ISE': np.float64(1757223.462273644), 'IAE': np.float64(174423.76992787397), 'ITAE': np.float64(1220368674.9816866), 'overshoot': np.float64(28.336773279530547), 'settling_time': np.float64(70000.0), 'control_effort': np.float64(1200.4994595555363)}"
2,"[26.279625611362583, 0.0, 537.8663166022311]",1059210.7805303377,26.279625611362583,0.0,537.8663166022311,"{'ISE': np.float64(1055111.1687460993), 'IAE': np.float64(102478.53910790733), 'ITAE': np.float64(513472410.4381128), 'overshoot': np.float64(24.981171333464616), 'settling_time': np.float64(19874.0), 'control_effort': np.float64(962.6990935464003)}"
3,"[10.934268734916017, 0.0, 590.6114291571516]",364659.1595575095,10.934268734916017,0.0,590.6114291571516,"{'ISE': np.float64(364212.9486759772), 'IAE': np.float64(43523.152809118015), 'ITAE': np.float64(144755929.9671056), 'overshoot': np.float64(15.876221454163556), 'settling_time': np.float64(1979.0), 'control_effort': np.float64(895.5286773862554)}"
4,"[3.676611834997942, 0.0, 525.1139087251498]",99747.61831041312,3.676611834997942,0.0,525.1139087251498,"{'ISE': np.float64(99589.32647257068), 'IAE': np.float64(16518.529421514235), 'ITAE': np.float64(86447768.27821109), 'overshoot': np.float64(4.578120707469154), 'settling_time': np.float64(770.5), 'control_effort': np.float64(949.8016536543232)}"
5,"[1.7079056291524934, 0.0, 571.1883364776913]",99747.61831041312,1.7079056291524934,0.0,571.1883364776913,"{'ISE': np.float64(132334.3533471996), 'IAE': np.float64(18871.817165370965), 'ITAE': np.float64(80882285.12922081), 'overshoot': np.float64(0.18578968490812997), 'settling_time': np.float64(988.0), 'control_effort': np.float64(918.7069505181994)}"
6,"[0.9204231468143139, 0.0, 589.618107578708]",99747.61831041312,0.9204231468143139,0.0,589.618107578708,"{'ISE': np.float64(230827.8956277431), 'IAE': np.float64(29667.211047136996), 'ITAE': np.float64(87915590.00401168), 'overshoot': np.float64(0.18855008323421174), 'settling_time': np.float64(2433.0), 'control_effort': np.float64(890.0498296458876)}"
7,"[0.6054301538790421, 0.0, 596.9900160191146]",99747.61831041312,0.6054301538790421,0.0,596.9900160191146,"{'ISE': np.float64(346109.54787846765), 'IAE': np.float64(41997.88227593529), 'ITAE': np.float64(105312165.93306231), 'overshoot': np.float64(0.19164222606879378), 'settling_time': np.float64(3908.5), 'control_effort': np.float64(870.8921198991289)}"
8,"[0.47943295670493336, 0.0, 599.9387793952773]",99747.61831041312,0.47943295670493336,0.0,599.9387793952773,"{'ISE': np.float64(435277.5957253772), 'IAE': np.float64(51492.06765859469), 'ITAE': np.float64(124654516.83759136), 'overshoot': np.float64(0.19415324790054456), 'settling_time': np.float64(4965.5), 'control_effort': np.float64(858.8357025147769)}"
9,"[0.42903407783528985, 0.0, 601.1182847457424]",99747.61831041312,0.42903407783528985,0.0,601.1182847457424,"{'ISE': np.float64(485711.0415036554), 'IAE': np.float64(56857.439086717466), 'ITAE': np.float64(137841397.68884313), 'overshoot': np.float64(0.19530388068870508), 'settling_time': np.float64(5802.0), 'control_effort': np.float64(852.511433897333)}"
